video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Z97O5zBF2W0&list=RDZ97O5zBF2W0&start_radio=1&pp=ygUHY2xpbWF0ZaAHAQ%3D%3D,/channel/UCEJdOGwm6CNtc_kIa_Qjy6A,BigXthaPlug,BigXthaPlug - Climate (ft. Offset) [Official Lyric Video],1.2M,2 years,BigXthaPlug - Climate (ft. Offset) [Official Lyric Video] Subscribe to BigXthaPlug's channel: https://bit.ly/3SLQimL Follow ...,29:52.3
/watch?v=9CwXWmWDg90&list=RD9CwXWmWDg90&start_radio=1&pp=ygUHY2xpbWF0ZaAHAQ%3D%3D,/channel/UCEJdOGwm6CNtc_kIa_Qjy6A,BigXthaPlug,BigXthaPlug feat. Offset - Climate (Official Music Video),17M,2 years,"BigXthaPlug feat. Offset - Climate (Official Music Video) Listen to ""The Biggest"" by BigXthaPlug: ...",29:52.3
/watch?v=YbAWny7FV3w&pp=ygUHY2xpbWF0ZQ%3D%3D,/@crashcoursekids,Crash Course Kids,Weather vs. Climate: Crash Course Kids #28.1,3.7M,10 years,"So we have weather and climate... but are they the same thing? No, no they are not. But they are both super important to how the ...",29:59.8
/watch?v=41Bt4eOg6HU&pp=ygUHY2xpbWF0ZdIHCQmHCgGHKiGM7w%3D%3D,/@LearnBright,Learn Bright,Climates for Kids | Learn about Different Weather and Climate Zones,625K,4 years,"In this video your kids will learn all about Climates, different kinds of weather, and the climate zones all over the world. The world ...",29:59.8
/watch?v=XJIDvwwPb1Q&pp=ygUHY2xpbWF0ZQ%3D%3D,/@ClimateEmergencyForum,Climate Emergency Forum,2026: Where the Climate Emergency Stands Now,5.1K,1 day,"An alarming new study by Pan & Cheng shows that 2025 set yet another record for global ocean heat content, with the upper ...",29:59.8
/watch?v=5tC8OOxOFEk&pp=ygUHY2xpbWF0ZQ%3D%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Climate Zones of the Earth - The Dr. Binocs Show | Best Learning Videos For kids | Dr Binocs,2.4M,8 years,"Hey kids, did you know that there are different climate zones of the Earth? Well, after watching this video, you'll not only get to ...",29:59.8
/watch?v=tRA2SfSk2Tc&pp=ygUHY2xpbWF0ZQ%3D%3D,/@StarTalk,StarTalk,How I Think About Climate Change,2.2M,11 months,What does “climate change” mean? Neil deGrasse Tyson explains under-emphasized elements of climate change and humanity's ...,29:59.8
/watch?v=G4H1N_yXBiA&pp=ygUHY2xpbWF0ZQ%3D%3D,/@NatGeo,National Geographic,Causes and Effects of Climate Change | National Geographic,5.8M,8 years,What causes climate change (also known as global warming)? And what are the effects of climate change? Learn the human ...,29:59.8
/watch?v=N6t6QHQtdVw&pp=ygUHY2xpbWF0ZQ%3D%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Climate Change 101 | Keep The Environment Safe | The Dr Binocs Show | Peekaboo Kidz,2.8M,3 years,Climate | How To Keep The Environment Safe? | Global Warming | Climate Change | What Causes Global Warming?,29:59.8
/watch?v=yiw6_JakZFc&pp=ygUHY2xpbWF0ZQ%3D%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,Can YOU Fix Climate Change?,14M,4 years,You want to learn more about science? Check out our sciency products on the kurzgesagt shop – all designed with love and ...,29:59.8
/watch?v=4zBoXY5YeVo&pp=ygUHY2xpbWF0ZQ%3D%3D,/@SimonClark,Simon Clark,The worst month of climate news in my entire career,481K,2 months,Want to restore the planet's ecosystems and see your impact in monthly videos? The first 100 people to join Planet Wild with my ...,29:59.8
/watch?v=cn9PhiDJp-A&list=RDcn9PhiDJp-A&start_radio=1&pp=ygUHY2xpbWF0ZaAHAQ%3D%3D,/@Hopscotchsongs,Hopscotch,Climate Change Song,7.8M,4 years,A song that helps kids understand global warming and what we all need to do about it today. Subscribe!,29:59.8
/watch?v=h1jOqyjcO4g&pp=ygUHY2xpbWF0ZQ%3D%3D,/@SimonClark,Simon Clark,How much progress have we made on climate change?,2.5M,10 months,"Progress is happening all over the world. I couldn't fit the entire world into my studio though, so built a model. See how I did that ...",29:59.8
/watch?v=LxgMdjyw8uw&pp=ygUHY2xpbWF0ZQ%3D%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,We WILL Fix Climate Change!,11M,3 years,Getting something from the kurzgesagt shop is the best way to support us and to keep our videos free for everyone.,29:59.8
/watch?v=U8pLrRkqbb0&pp=ygUHY2xpbWF0ZQ%3D%3D,/@OoSPictures,OoS Pictures,Climate Extremes (Full Documentary),1.4M,1 year,"Share Climate Extremes with your friends and followers! Help the public become more educated about planetary behavior, tipping ...",29:59.9
/watch?v=A24fWmNA6lM&pp=ygUHY2xpbWF0ZQ%3D%3D,/@FoodLies,Food Lies,Climate: The Movie,569K,1 year,"The film that lifts the lid on the climate alarm, and the dark forces behind the climate consensus. Written and directed by Martin ...",29:59.9
/watch?v=pEt6-jA2UE4&pp=ygUHY2xpbWF0ZQ%3D%3D,/@DWDocumentary,DW Documentary,Climate change - Averting catastrophe | DW Documentary,3M,2 years,"In the last 30 years, CO2 emissions have increased by 60 percent worldwide. The most pressing problem facing our civilization is ...",29:59.9
/watch?v=EU8zYS43TRg&pp=ygUHY2xpbWF0ZQ%3D%3D,/@JustHaveaThink,Just Have a Think,New research DEBUNKS climate disinformation.,193K,5 months,"China and India currently make up around 35% of all global greenhouse gas emissions. Some ask why countries like the UK, with ...",29:59.9
/watch?v=fsah3Z2pC6Q&pp=ygUHY2xpbWF0ZQ%3D%3D,/@SimonClark,Simon Clark,2025: climate tipping point or turning point?,94K,2 weeks,Start 2026 with a daily learning habit using my link https://www.brilliant.org/simonclark for a FREE 30 DAY TRIAL and a 20% ...,29:59.9
/watch?v=57x_SWsv6QU&pp=ygUHY2xpbWF0ZQ%3D%3D,/@FrancisCrickInstitute,The Francis Crick Institute,Will We Survive Climate Change? – A Question of Science with Brian Cox,110K,3 months,Professor Brian Cox and a panel of experts discuss how to curb rising global temperatures and what life could be like in a warmer ...,30:06.8
/watch?v=iWDEawUSyUY&pp=ygUHY2xpbWF0ZQ%3D%3D,/@pbsterra,PBS Terra,The Biggest Climate Scam Ever?,1.1M,8 months,Check out our Patreon: ...,30:06.8
/watch?v=7ACNGTHVF2o&pp=ygUHY2xpbWF0ZQ%3D%3D,/@ClimateAdam,ClimateAdam,Will 2026 Be The Hottest Year Ever Recorded?,10K,11 days,"Global warming continues to ramp up, with 2025 one of the hottest three years we've ever observed, and probably the hottest in ...",30:06.8
/watch?v=tQtVteeY4og&pp=ygUHY2xpbWF0ZQ%3D%3D,/@LeviHildebrandYT,Levi Hildebrand,Why Nobody Cares about Climate Change Anymore,165K,6 months,Go to https://ground.news/LH to access diverse perspectives all in one place to stay fully informed. Subscribe through my link to ...,30:06.8
