video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=e6rglsLy1Ys&pp=ygUIcG9sbHVpb27SBwkJhwoBhyohjO8%3D,/@NatGeo,National Geographic,Air Pollution 101 | National Geographic,13M,8 years,"What is air pollution? Learn how greenhouse gasses, smog, and toxic pollutants effect climate change, and human health.",2026-01-22 06:19:20.655749
/watch?v=J3Df0-ZJ_WA&pp=ygUIcG9sbHVpb24%3D,/@NGScience,Next Generation Science,"Air, Water and Land Pollution",329K,2 years,ngscience #airpollution #waterpollution #landpollution https://ngscience.com Did you know pollution happens when harmful ...,2026-01-22 06:19:20.658797
/watch?v=7qkaz8ChelI&pp=ygUIcG9sbHVpb24%3D,/@Peekaboo_Kidz,Peekaboo Kidz,What is POLLUTION? | Types of POLLUTION - Air | Water | Soil | Noise | Dr Binocs Show -Peekaboo Kidz,6.3M,5 years,Pollution | What Causes POLLUTION | Save EARTH | Air Pollution | Water Pollution | Noise Pollution | Soil Pollution | Land ...,2026-01-22 06:19:20.660815
/watch?v=kdDSRRCKMiI&pp=ygUIcG9sbHVpb24%3D,/@crashcourse,CrashCourse,Pollution: Crash Course Ecology #11,766K,13 years,Hank talks about the last major way humans are impacting the environment in this penultimate episode of Crash Course Ecology.,2026-01-22 06:19:20.662671
/watch?v=V_A78zDBwYE&pp=ygUIcG9sbHVpb24%3D,/@NatGeo,National Geographic,Light Pollution 101 | National Geographic,547K,6 years,"Ever since the light bulb's invention 150 years ago, artificial light has illuminated homes, streets, and skies -- but with some ...",2026-01-22 06:19:20.664232
/watch?v=RS7IzU2VJIQ&pp=ygUIcG9sbHVpb24%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,Plastic Pollution: How Humans are Turning the World into Plastic,9.9M,7 years,Modern life would be impossible without plastic – but we have long since lost control over our invention. Why has plastic turned ...,2026-01-22 06:19:20.666556
/watch?v=A3rLfrIUzY4&pp=ygUIcG9sbHVpb24%3D,/@LearnBright,Learn Bright,Water Pollution for Kids | Learn How to Keep Our Water Clean,813K,4 years,"What is water pollution? Did you know there are different kinds of pollution? In this video, you and your kids will learn all about the ...",2026-01-22 06:19:20.674297
/watch?v=OqHp03RRTDs&pp=ygUIcG9sbHVpb24%3D,/@learningjunction,learning junction,Learn about Pollution | Environment Defilement | Cartoon,2M,8 years,This video explains about different types of pollution: Air Pollution Water Pollution Soil Pollution For more videos go to: ...,2026-01-22 06:19:20.677889
/shorts/hyRFw0uxyGU,/@Insider,Insider,The leading cause of India’s air pollution? Non-stop burning. #india #pollution #environment,86K,2 years,"Insider is great journalism about what passionate people actually want to know. That's everything from news to food, celebrity to ...",2026-01-22 06:19:20.681698
/watch?v=fephtrPt6wk&pp=ygUIcG9sbHVpb24%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Air Pollution | What Causes Air Pollution? | The Dr Binocs Show | Kids Learning Videos|Peekaboo Kidz,2.1M,6 years,"Hey kids, in this video, Dr Binocs will explain, what is air pollution? what causes air pollution? how to prevent air pollution?",2026-01-22 06:19:20.685146
/watch?v=rqr5ZZfj3Mc&pp=ygUIcG9sbHVpb24%3D,/@MiaLearningChannelK-12,Miacademy & MiaPrep Learning Channel,"Pollution - Causes, Effects, and Solutions",24K,2 years,"In this science lesson for 4th graders, students will explore what causes pollution, its effects on Earth, and ways we can help ...",2026-01-22 06:19:20.687998
/watch?v=MEb7nnMLcaA&pp=ygUIcG9sbHVpb27SBwkJhwoBhyohjO8%3D,/@Peekaboo_Kidz,Peekaboo Kidz,What is WATER POLLUTION? | What Causes Water Pollution? | The Dr Binocs Show | Peekaboo Kidz,4.7M,6 years,"Hey kids, in this video, Dr Binocs will explain, what is water pollution? what causes water pollution? how to prevent water pollution ...",2026-01-22 06:19:20.689882
/watch?v=Yjtgu2CxtEk&pp=ygUIcG9sbHVpb24%3D,/@LearnBright,Learn Bright,Air Pollution for Kids | Learn about the Causes and Effects of Air Pollution,1M,4 years,"Air is all around us and we need it to survive. In this video we will learn about air pollution, what causes it, some of the bad effects ...",2026-01-22 06:19:20.691689
/watch?v=Yomf5pBN8dY&list=RDYomf5pBN8dY&start_radio=1&pp=ygUIcG9sbHVpb26gBwE%3D,/@OceanaOrgInternational,Oceana,POWERFUL VIDEO: Why We Need to Stop Plastic Pollution in Our Oceans FOR GOOD | Oceana,2.6M,6 years,"Our oceans are being filled and killed by throwaway plastics. But together, we can create a movement to reduce throwaway plastic ...",2026-01-22 06:19:20.693690
/watch?v=uAXT2uB87MM&pp=ygUIcG9sbHVpb24%3D,/@CBSEveningNews,CBS Evening News,"Environmental pollution killing more people than war, study says",105K,8 years,The Lancet medical journal published a new study that says environmental pollution contributed to the deaths of 9 million people ...,2026-01-22 06:19:20.695290
/watch?v=eHCaIvPN2rY&pp=ygUIcG9sbHVpb24%3D,/@theGuardian,The Guardian,"The Yamuna, India's most polluted river",11M,8 years,Guardian India correspondent Michael Safi takes a journey along the Yamuna river. Subscribe to The Guardian on YouTube ...,2026-01-22 06:19:20.696799
